CYCLE,PK_RANDOM,Match,WGT,FK_EPA_RAN,NEST1_WT,EPA_OVERSAMPLE,EPA_DIVISION,C3_RESOURCE_TYPE,C1_RESOURCE_TYPE,C3_REPORTING_UNIT,C1_REPORTING_UNIT,GROUP_NAME,RANDOM_LAT,LAT_DD,LAT_MM,LAT_SS,LAT_DEC,RANDOM_LONG,LONG_DD,LONG_MM,LONG_SS,LONG_DEC,HYDROLOGIC_CODE,HYDROLOGIC_NAME,CAN_BE_SAM,EXCLUSION_CATEGORY,EXCLUSION_CRITERIA,SAMPLED_DATE,HECTARES,ANALYSIS_S,LOCATIONAL_DATUM,FK_PROJECT,DO_REGION,NNC_REGION,DO_CRIT,TN_NNC,TP_NNC,CHLA_NNC,Sample.Id,Station.No,Station.Name,Collect.Date,Sample.Type,Matrix,Water.Temperature,Water Temperature_VQ,Turbidity,Turbidity_VQ,Transparency..Secchi.Depth,Transparency (Secchi Depth)_VQ,Color..true,Color (true)_VQ,Specific.Conductance..Field,Specific Conductance  Field_VQ,Specific.Conductance,Specific Conductance_VQ,Oxygen..Dissolved..Field,Oxygen  Dissolved  Field_VQ,pH..Field,pH  Field_VQ,Alkalinity..Total..as.CaCO3,Alkalinity  Total (as CaCO3)_VQ,Total.Suspended.Solids..TSS,Total Suspended Solids (TSS)_VQ,Ammonia..Total..as.N,Ammonia  Total (as N)_VQ,Kjeldahl.Nitrogen..Total..as.N,Kjeldahl Nitrogen  Total  (as N)_VQ,Nitrate.Nitrite..Total..as.N,Nitrate+Nitrite  Total (as N)_VQ,Phosphorus..Total..as.P,Phosphorus  Total (as P)_VQ,Organic.Carbon..Total,Organic Carbon  Total_VQ,Calcium..Total,Calcium  Total_VQ,Magnesium..Total,Magnesium  Total_VQ,Sodium..Total,Sodium  Total_VQ,Potassium..Total,Potassium  Total_VQ,Chloride..Total,Chloride  Total_VQ,Sulfate..Total,Sulfate  Total_VQ,Fluoride..Total,Fluoride  Total_VQ,Coliform..Fecal..MF,Coliform  Fecal (MF)_VQ,Chlorophyll.A..Monochromatic,Chlorophyll-A (Monochromatic)_VQ,Pheophytin.A..Monochromatic,Pheophytin-A (Monochromatic)_VQ,Total.Dissolved.Solids..TDS.measured,Total Dissolved Solids (TDS measured)_VQ,Depth..Bottom.of.Waterbody..Sample.Site,Depth  Bottom of Waterbody  Sample Site_VQ,Sample.Depth,Sample Depth_VQ
1,SJA-LS-1047,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-A,Nassau - St. Marys,301915.6,30,19,15.6,30.321,820809.96,82,8,9.96,-82.1361,3070204,ST MARYS RIVER,Y,,,9/17/2001,,,NAD27,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0108-13,11222,SJA-LS-1047,9/17/2001 10:50,PRIMARY,WATER,20.4,,3.5,A,0.4,,200,,80,,76,,4.91,,4.45,,0.65,U,4,U,0.024,,1.1,,0.004,U,0.018,I,38,,2.89,,1.6,,5.5,,1.3,,8.8,A,5.9,A,0.1,U,180,Q,0.85,U,0.85,U,92,J,0.4,,0.2,
1,SJA-LS-1051,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-A,Nassau - St. Marys,302015.72,30,20,15.72,30.3377,820758.8,82,7,58.8,-82.133,3070204,ST MARYS RIVER,Y,,,9/24/2001,,,NAD27,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0108-16,11223,SJA-LS-1051,9/24/2001 10:40,PRIMARY,WATER,23.3,,25,,0.3,,120,A,105,,92,,0.62,,5.39,,9.8,,52,,0.14,,1.6,,0.004,U,0.15,,18,,6.3,I,1.8,A,9.4,A,1.3,A,15,,5.5,,0.057,I,130,Q,33,A,2.6,A,94,AQ,0.3,,0.15,
1,SJA-LS-1062,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-A,Nassau - St. Marys,301814.76,30,18,14.76,30.3041,821020.28,82,10,20.28,-82.1723,3070204,ST MARYS RIVER,Y,,,10/3/2001,,,NAD27,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0108-5,11224,SJA-LS-1062,10/3/2001 13:15,PRIMARY,WATER,18.2,,1,,0.1,,150,,66,,53,,0.9,,4.06,,0.65,U,4,U,0.041,,0.73,,0.02,U,0.021,,33,,0.76,I,0.49,,3.7,,0.04,U,6.5,,0.2,U,0.025,U,10,Q,0.85,U,0.85,U,69,,0.1,,0.05,
1,SJA-LS-1070,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-A,Nassau - St. Marys,302607.44,30,26,7.44,30.4354,815306,81,53,6,-81.885,3070205,NASSAU RIVER,Y,,,10/3/2001,,,NAD27,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0108-4,11225,SJA-LS-1070,10/3/2001 12:10,PRIMARY,WATER,16.9,,2.2,,0.35,,350,,69,,64,,4.03,,4.84,,1.6,I,4,U,0.026,A,1.1,A,0.02,U,0.05,,45,,4.32,,1.4,,5.9,,0.18,,9.8,,1,,0.026,I,180,Q,0.85,U,0.85,U,117,,0.4,,0.2,
1,SJA-LS-1073,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-A,Nassau - St. Marys,301441.64,30,14,41.64,30.2449,820951.12,82,9,51.12,-82.1642,3070204,ST MARYS RIVER,Y,,,10/3/2001,,,NAD27,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0108-17,11226,SJA-LS-1073,10/3/2001 11:00,PRIMARY,WATER,16.6,,3.7,,0.1,,250,,95,,80,,2.88,,6.05,,23,,4,U,0.064,,1,,0.35,,0.17,,30,,7.98,,2.3,,5.9,,1.3,,8.7,,0.56,,0.068,I,215,AQ,0.85,U,0.85,U,116,,0.1,,0.05,
1,SJA-LS-1083,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-A,Nassau - St. Marys,302136,30,21,36,30.36,821246.44,82,12,46.44,-82.2129,3070204,ST MARYS RIVER,Y,,,10/10/2001,,,NAD27,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0108-8,11228,SJA-LS-1083,10/10/2001 11:45,PRIMARY,WATER,19.8,,2.5,,0.2,,80,,105,,88,,4.01,,6.1,,29,,4,U,0.03,Q,0.37,,0.36,,0.052,,7.9,,7.35,,3,,6.1,,0.69,,8.9,,1.8,,0.085,I,315,AQ,0.85,U,0.85,U,76,,0.2,,0.1,
1,SJA-LS-1085,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-A,Nassau - St. Marys,302527.84,30,25,27.84,30.4244,815400.36,81,54,0.36,-81.9001,3070205,NASSAU RIVER,Y,,,10/3/2001,,,NAD27,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0108-6,11229,SJA-LS-1085,10/3/2001 13:20,PRIMARY,WATER,18,,1.5,,0.25,,400,,95,,85,,2.45,,4.05,,0.65,U,4,U,0.05,,1.3,,0.02,U,0.041,,61,,2.7,,0.94,,6.9,,0.11,I,12,,0.6,,0.03,I,16,Q,0.85,U,0.85,U,129,,0.4,,0.2,
1,SJA-LS-1095,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-A,Nassau - St. Marys,303415.6,30,34,15.6,30.571,815751.48,81,57,51.48,-81.9643,3070204,ST MARYS RIVER,Y,,,10/18/2001,,,NAD27,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0108-10,11230,SJA-LS-1095,10/18/2001 11:45,PRIMARY,WATER,14.5,,14,,0.2,,100,A,76,,73,,0.77,,4.76,,0.8,U,30,,0.034,,1.2,,0.004,U,0.056,,26,,2.81,,1.3,,6.2,,0.65,,12,,1.5,,0.034,I,420,AQ,1.1,U,1.1,U,81,,0.2,,0.1,
1,SJA-LS-1097,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-A,Nassau - St. Marys,304218.72,30,42,18.72,30.7052,814507.56,81,45,7.56,-81.7521,3070204,ST MARYS RIVER,Y,,,10/23/2001,,,NAD27,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0108-1,11231,SJA-LS-1097,10/23/2001 11:50,PRIMARY,WATER,21.9,,1.3,,0.5,,200,,828,,760,,1.69,,6,,21,,4,U,0.039,,1.3,,0.004,U,0.032,,38,,11.2,,14,,119,,5.3,,220,,21,,0.079,I,140,Q,0.85,U,0.85,U,482,A,3.2,,0.5,
1,SJB-LR-1001,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,293214.23,29,32,14.23,29.53728611,814201.556,81,42,1.556,-81.70043222,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/8/2002,,,HPGN,,Peninsula,Peninsula,38,1.54,0.12,20,SJLR0205-34,14259,SJB-LR-1001,5/8/2002 9:00,PRIMARY,WATER,28.9,,7,,0.5,,120,,1188,,1180,,6.57,,8.32,,81,,18,A,0.017,I,2,,0.011,,0.086,,15,,55.2,,20.6,,152,,5.4,,270,,82,,0.13,,2,AQ,72,A,0,A,636,,4.1,,0.5,
1,SJB-LR-1002,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300441.595,30,4,41.595,30.07822083,814437.719,81,44,37.719,-81.74381083,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/20/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-51,14260,SJB-LR-1002,5/20/2002 10:15,PRIMARY,WATER,26,,2,,0.7,,120,,2520,,2240,,5.73,,7.08,,51,,4,U,0.054,,0.84,,0.075,,0.084,,17,,41.2,,47,,393,,14,,710,,130,,0.14,,22,Q,0.85,U,0.85,U,1320,,5.9,,0.5,
1,SJB-LR-1003,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300447.082,30,4,47.082,30.079745,814613.172,81,46,13.172,-81.77032556,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/20/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-54,14261,SJB-LR-1003,5/20/2002 11:00,PRIMARY,WATER,26.4,,2,,0.68,,150,,1598,,1460,,4.51,,6.83,,38,,4,U,0.065,,1,,0.094,,0.082,,19,,29.9,,29.7,,238,,8.8,,410,,76,,0.13,,22,Q,0.85,U,0.85,U,825,,6.4,,0.5,
1,SJB-LR-1004,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,293323.539,29,33,23.539,29.55653861,813406.607,81,34,6.607,-81.56850194,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/8/2002,,,HPGN,,Peninsula,Peninsula,38,1.54,0.12,20,SJLR0205-38,14262,SJB-LR-1004,5/8/2002 11:00,PRIMARY,WATER,29.5,,6.2,,0.49,,200,,807,,799,,6.89,,7.85,,58,,12,I,0.016,I,1.5,J,0.088,,0.088,,21,,40.3,,14.3,,97,,4.1,,180,,56,,0.11,,10,Q,44,,0,,462,,3.7,,0.5,
1,SJB-LR-1005,,1,,1,,,SMALL STREAM,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300821.498,30,8,21.498,30.139305,815515.457,81,55,15.457,-81.92096028,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/20/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-58,14263,SJB-LR-1005,5/20/2002 14:10,PRIMARY,WATER,20.1,,1.8,,0.3,,60,A,123,,118,,8.72,,7.2,,41,,4,U,0.024,,0.32,,0.007,I,0.065,,7,A,12.9,A,3.6,A,5.2,A,0.42,A,9,A,5.5,A,0.088,I,32,Q,0.85,U,0.85,U,84,,0.3,,0.2,
1,SJB-LR-1006,,1,,1,,,SMALL STREAM,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300749.104,30,7,49.104,30.13030667,815458.412,81,54,58.412,-81.91622556,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/7/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-42,14264,SJB-LR-1006,5/7/2002 14:00,PRIMARY,WATER,23.6,,2.5,Q,0.6,,70,Q,113,,112,,7.94,,7.02,,32,,4,U,0.019,I,0.36,J,0.14,,0.049,,8.7,,11.8,,2.6,,5.9,,0.53,,10,,5.9,,0.072,I,10,Q,1.1,UQ,1.1,UQ,65,,0.6,,0.3,
1,SJB-LR-1007,,1,,1,,,SMALL STREAM,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300200.857,30,2,0.857,30.03357139,815229.254,81,52,29.254,-81.87479278,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/22/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-16,14265,SJB-LR-1007,5/22/2002 11:10,PRIMARY,WATER,19.4,,1.2,,1.3,,70,,60,,61,,6.34,,6.55,,9.1,,4,U,0.013,IV,0.33,,0.063,J,0.18,,8.1,A,4.8,,1.6,,4.3,,0.43,,6.9,A,5.2,A,0.1,,48,Q,0.85,U,0.85,U,49,I,1.6,,0.5,
1,SJB-LR-1010,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,293640.714,29,36,40.714,29.61130944,813543.942,81,35,43.942,-81.59553944,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/9/2002,,,HPGN,,Peninsula,Peninsula,38,1.54,0.12,20,SJLR0205-44,14267,SJB-LR-1010,5/9/2002 9:20,PRIMARY,WATER,28.9,,5.9,,0.6,,100,,1107,,1010,,6.41,,8.21,,81,,12,I,0.015,I,1.8,J,0.012,,0.078,,16,,53.3,,19.3,,123,,4.8,,240,,75,,0.15,,1,KQ,60,A,0,A,629,,8.1,,0.5,
1,SJB-LR-1013,,1,,1,,,SMALL STREAM,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300412.152,30,4,12.152,30.07004222,814941.446,81,49,41.446,-81.82817944,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/21/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-59,14269,SJB-LR-1013,5/21/2002 10:20,PRIMARY,WATER,25.1,,5.4,A,0.8,,120,,113,,113,,5.13,,6.75,,23,,4,U,0.039,,0.48,,0.069,,0.12,,14,,9.9,,2.6,,8,,0.49,,15,,5.8,,0.094,I,10,Q,0.85,U,0.85,U,98,,5,,0.5,
1,SJB-LR-1017,,1,,1,,,SMALL STREAM,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300754.271,30,7,54.271,30.13174194,815459.274,81,54,59.274,-81.916465,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/7/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-41,14270,SJB-LR-1017,5/7/2002 13:00,PRIMARY,WATER,23.3,,2.6,Q,0.4,,80,Q,113,,113,,7.71,,7.04,,32,A,4,U,0.02,I,0.36,J,0.14,,0.05,,8.6,,11.9,,2.6,,5.9,,0.53,,10,,6.2,,0.068,I,1300,Q,0.85,UQ,0.85,UQ,65,,0.4,,0.2,
1,SJB-LR-1018,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300445.53,30,4,45.53,30.07931389,815033.229,81,50,33.229,-81.84256361,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/21/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-7,14271,SJB-LR-1018,5/21/2002 11:00,PRIMARY,WATER,25,,4.5,,1,,100,,108,,107,,4.85,,6.77,,27,,4,U,0.036,,0.44,,0.064,,0.13,,11,,9.8,,2.7,,6.8,,0.48,,12,,5.5,,0.1,,20,Q,0.85,U,0.85,U,86,,7.1,,0.5,
1,SJB-LR-1023,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,294017.682,29,40,17.682,29.67157833,813749.818,81,37,49.818,-81.630505,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/9/2002,,,HPGN,,Peninsula,Peninsula,38,1.54,0.12,20,SJLR0205-46,14272,SJB-LR-1023,5/9/2002 10:15,PRIMARY,WATER,28.5,,5.2,,0.7,,100,,1137,,1020,,5.93,,8.01,,81,,11,I,0.016,I,1.7,J,0.004,U,0.081,,17,,51.4,,18.9,,125,,4.9,,250,,76,,0.13,,8,Q,46,,0,,604,,2.8,,0.5,
1,SJB-LR-1024,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300441.319,30,4,41.319,30.07814417,815125.303,81,51,25.303,-81.85702861,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/21/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-5,14273,SJB-LR-1024,5/21/2002 10:40,PRIMARY,WATER,23.6,,4.2,,0.9,,80,,121,,119,,4.75,,6.75,,34,,4,U,0.027,,0.44,,0.056,,0.085,,8.9,,11.8,,3.2,,6.6,,0.55,,11,,6.1,,0.091,I,42,Q,0.85,U,0.85,U,90,,3.2,,0.5,
1,SJB-LR-1025,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,293411.266,29,34,11.266,29.56979611,813631.961,81,36,31.961,-81.60887806,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/8/2002,,,HPGN,,Peninsula,Peninsula,38,1.54,0.12,20,SJLR0205-36,14274,SJB-LR-1025,5/8/2002 10:10,PRIMARY,WATER,28.8,,6.5,,0.45,,120,,1094,,1090,,6.09,,7.8,,80,,17,,0.022,,1.7,,0.011,,0.085,,16,,52.2,,18.7,,134,,5,,240,,77,,0.13,,12,Q,60,,0,,587,,2.5,,0.5,
1,SJB-LR-1030,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300438.514,30,4,38.514,30.077365,815034.403,81,50,34.403,-81.84288972,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/21/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-11,14276,SJB-LR-1030,5/21/2002 11:20,PRIMARY,WATER,24.8,,4.5,,0.8,,100,,107,,106,,4.62,,6.76,,26,,4,U,0.041,,0.44,,0.065,,0.13,,10,,9.7,,2.7,,6.7,,0.48,,12,,5.5,,0.1,,20,Q,0.85,U,0.85,U,86,,4.7,,0.5,
1,SJB-LR-1034,,1,,1,,,SMALL STREAM,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300729.659,30,7,29.659,30.12490528,815906.488,81,59,6.488,-81.98513556,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/22/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-18,14279,SJB-LR-1034,5/22/2002 11:20,PRIMARY,WATER,16.9,,2,,0.2,,80,,154,,151,,4.19,,6.26,,22,,4,U,0.058,,0.52,,0.033,J,0.058,,10,,14.8,,2.6,,9.3,,0.56,,25,,9.7,,0.064,I,38,Q,0.85,U,0.85,U,96,,0.2,,0.1,
1,SJB-LR-1035,,1,,1,,,SMALL STREAM,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300831.151,30,8,31.151,30.14198639,815617.748,81,56,17.748,-81.93826333,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/20/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-53,14280,SJB-LR-1035,5/20/2002 10:25,PRIMARY,WATER,18.2,,1.3,,0.8,,60,,115,,107,,7.57,,7.3,,36,,4,U,0.027,,0.29,,0.037,,0.076,,7.7,,11.6,,3.4,,5.4,,0.45,,9.3,,4.1,,0.079,I,20,Q,0.96,U,0.96,U,77,,0.8,,0.4,
1,SJB-LR-1036,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300425.935,30,4,25.935,30.07387083,815102.923,81,51,2.923,-81.85081194,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/21/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-9,14281,SJB-LR-1036,5/21/2002 11:15,PRIMARY,WATER,24.2,,3.9,,0.85,,80,,104,,100,,4.91,,6.7,,28,,4,U,0.035,,0.44,,0.056,,0.13,,9.1,,9.4,,2.7,,5.8,,0.48,,10,,5.2,,0.11,,32,Q,1.1,U,1.1,U,80,,3.8,,0.5,
1,SJB-LR-1037,,1,,1,,,SMALL STREAM,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300803.691,30,8,3.691,30.13435861,815503.365,81,55,3.365,-81.91760139,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/7/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-40,14282,SJB-LR-1037,5/7/2002 11:50,PRIMARY,WATER,22.5,,2.7,Q,0.9,,70,Q,113,,112,,6.62,,6.76,,33,,4,U,0.018,I,0.33,JA,0.16,,0.05,,8.6,,11.9,,2.6,,5.9,,0.53,,9.9,A,6,A,0.069,I,1200,Q,0.85,UQ,0.85,UQ,75,,1.3,,0.8,
1,SJB-LR-1038,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,294802.539,29,48,2.539,29.80070528,813353.041,81,33,53.041,-81.56473361,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/29/2002,,,HPGN,,Peninsula,Peninsula,38,1.54,0.12,20,SJLR0205-23,14283,SJB-LR-1038,5/29/2002 10:20,PRIMARY,WATER,25.7,,5.4,A,0.8,,100,,1392,,1320,,7.59,,8.4,,84,,12,I,0.014,IV,1.4,,0.004,U,0.074,,16,,55.8,,26.4,,176,,7.2,,330,,100,,0.15,,1,KQ,10,,0,,748,,3.1,,0.5,
1,SJB-LR-1041,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300426.034,30,4,26.034,30.07389833,815038.223,81,50,38.223,-81.84395083,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/21/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-13,14284,SJB-LR-1041,5/21/2002 11:55,PRIMARY,WATER,25.1,,4.1,,1,,100,,105,,102,,5.16,,6.72,,27,,4,U,0.061,,0.46,,0.061,,0.14,A,9.7,,9.4,,2.7,,6,,0.47,,11,,5.5,,0.11,,66,Q,1.1,U,1.1,U,84,,4.6,,0.5,
1,SJB-LR-1043,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300446.891,30,4,46.891,30.07969194,814606.873,81,46,6.873,-81.76857583,3080103,"ST JOHNS RIVER, LOWER",Y,,,5/20/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-56,14285,SJB-LR-1043,5/20/2002 11:20,PRIMARY,WATER,26.4,,2,,0.68,,150,,1680,,1480,,4.6,,6.83,,41,,4,U,0.063,,0.78,,0.094,,0.081,,19,,31.6,,31.9,,254,,9.4,,450,,81,,0.13,,20,Q,0.85,U,0.85,U,907,,7.1,,0.5,
1,SJB-LR-1046,,1,,1,,,LARGE RIVER,LARGE RIVER,ZONE 3,SJRWMD-B,Lower St. Johns,300501.633,30,5,1.633,30.08378694,815326.701,81,53,26.701,-81.89075028,3080103,"ST JOHNS RIVER, LOWER",Y,,,6/11/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLR0205-30,14287,SJB-LR-1046,6/11/2002 10:40,PRIMARY,WATER,25.6,,3.1,,1.4,,60,,112,,108,J,5.46,,6.89,,37,A,4,I,0.025,,0.53,,0.091,,0.088,,6.4,,10.6,,2.9,,4.6,,0.65,,7.6,A,5.2,A,0.075,I,10,Q,42,A,0,A,70,,3,,0.5,
1,SJB-LS-1002,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-B,Lower St. Johns,301005.13,30,10,5.13,30.16809167,813254.427,81,32,54.427,-81.54845194,3080103,"ST JOHNS RIVER, LOWER",Y,,,8/28/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0208-35,14759,SJB-LS-1002,8/28/2002 9:55,PRIMARY,WATER,25.4,,5.1,A,0.2,,80,,316,,310,,5.23,,7.05,,95,,5,I,0.02,IV,0.52,,0.067,,0.1,,13,,44.4,,4.8,,14.8,,2.5,,26,,19,,0.086,IV,320,Q,0.85,U,0.85,U,200,,0.2,,0.1,
1,SJB-LS-1003,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-B,Lower St. Johns,300952.162,30,9,52.162,30.16448944,814947.133,81,49,47.133,-81.82975917,3080103,"ST JOHNS RIVER, LOWER",Y,,,9/25/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0208-3,14760,SJB-LS-1003,9/25/2002 13:30,PRIMARY,WATER,24.5,,8.3,,0.4,,500,,55,,50,,5.17,,4.56,,1.5,IV,11,I,0.02,IV,1.3,,0.004,U,0.037,,48,,4.9,,1.1,,4.5,,0.35,,6.8,A,1.4,A,0.05,U,250,Q,0.85,U,0.85,U,91,,0.8,,0.4,
1,SJB-LS-1004,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-B,Lower St. Johns,295824.555,29,58,24.555,29.9734875,812923.448,81,29,23.448,-81.48984667,3080103,"ST JOHNS RIVER, LOWER",Y,,,8/26/2002,,,HPGN,,Northeast,Peninsula,34,1.54,0.12,20,SJLS0208-28,14761,SJB-LS-1004,8/26/2002 11:15,PRIMARY,WATER,29.2,,4.5,,0.6,,250,A,329,,320,,3.31,,6.96,,78,,6,I,0.17,,1.5,,0.086,,0.21,,31,,28.8,,5.1,,32.9,,4.2,,43,,17,,0.19,,50,QV,0.85,U,0.85,U,226,,0.6,,0.3,
1,SJB-LS-1007,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-B,Lower St. Johns,294805.687,29,48,5.687,29.80157972,814833.665,81,48,33.665,-81.80935139,3080103,"ST JOHNS RIVER, LOWER",Y,,,8/28/2002,,,HPGN,,Peninsula,Peninsula,38,1.54,0.12,20,SJLS0208-34,14762,SJB-LS-1007,8/28/2002 9:20,PRIMARY,WATER,23.6,,0.65,,0.3,,500,,60,,57,,3.46,,4.51,,0.65,U,4,U,0.024,AV,0.96,,0.02,UJ,0.11,,40,,3.8,,0.53,,5.5,,0.061,I,8,,0.74,,0.05,U,18,QV,0.85,U,0.85,U,98,,0.3,,0.1,
1,SJB-LS-1009,,1,,1,,,SMALL STREAM,LOW-ORDER STREAM,ZONE 3,SJRWMD-B,Lower St. Johns,295227.783,29,52,27.783,29.87438417,813249.367,81,32,49.367,-81.54704639,3080103,"ST JOHNS RIVER, LOWER",Y,,,8/26/2002,,,HPGN,,Peninsula,Peninsula,38,1.54,0.12,20,SJLS0208-27,14763,SJB-LS-1009,8/26/2002 9:10,PRIMARY,WATER,25.3,,2.5,,0.5,,300,,367,,357,,2.07,,6.56,,47,,4,U,0.048,,1.2,,0.06,,0.11,,38,,36.3,,15.2,,16.1,,4,,27,,83,,0.16,,300,Q,0.85,U,0.85,U,280,,0.8,,0.4,
